dbn,school,total_enrollment,amount_owed,district_name,district_no,assembly_district,senate_district
,FREDERICK DOUGLASS ACAD V MIDDLE SCH,257,685397.37,District 12,12,085,32
,SCHOOL OF SCIENCE & APPLIED LRNG,576,1536143.53,District 12,12,085,32
,ENTRADA ACADEMY,318,848079.24,District 12,12,085,32
,METROPOLITAN HIGH SCHOOL (THE),314,837411.58,District 12,12,085,32
,PEACE AND DIVERSITY ACADEMY,175,466710.27,District 12,12,085,32
,PAN AMERICAN INTERNATIONAL HS-MONROE,391,1042764.10,District 12,12,085,32
,ARTURO A SCHOMBURG SATTELLITE-BRONX,199,530716.26,District 12,12,085,32
,CINEMA SCHOOL (THE),316,842745.41,District 12,12,085,32
,METROPOLITAN SOUNDVIEW HIGH (THE),308,821410.08,District 12,12,085,32
,HIGH SCHOOL OF WORLD CULTURES,337,898750.64,District 12,12,085,32
,FANNIE LOU HAMER FREEDOM HS,487,1298788.02,District 12,12,085,32
,MONROE ACAD FOR BUSINESS/LAW,47,125345.05,District 12,12,085,32
,MONROE ACAD FOR VISUAL ARTS & DESIGN,464,1237448.96,District 12,12,085,32
,PS 28 MOUNT HOPE,700,1866841.10,District 9,9,086,33
,PS 58,454,1210779.80,District 9,9,086,33
,PS 70 MAX SCHOENFELD,1393,3715013.79,District 9,9,086,33
,IS 117 JOSEPH H WADE,635,1693491.57,District 9,9,086,33
,PS 163 ARTHUR A SCHOMBERG,579,1544144.28,District 9,9,086,33
,PS 236 LANGSTON HUGHES,382,1018761.86,District 9,9,086,33
,BRONX LEADERSHIP ACAD HIGH SCHOOL,706,1882842.59,District 9,9,086,33
,PS 3 RAUL JULIA MICRO SOCIETY,341,909418.31,District 10,10,086,33
,PS 9 RYER AVENUE ELEMENTARY SCHOOL,770,2053525.21,District 10,10,086,33
,PS 15 INST FOR ENVIRON LRNG,508,1354793.25,District 10,10,086,33
,PS 23 THE NEW CHILDREN'S SCHOOL,562,1498806.71,District 10,10,086,33
,PS 33 TIMOTHY DWIGHT,1043,2781593.24,District 10,10,086,33
,PS 59 THE COMM SCHOOL OF TECHNOLOGY,521,1389463.16,District 10,10,086,33
,PS 85 GREAT EXPECTATIONS,998,2661582.02,District 10,10,086,33
,PS 91 BRONX,703,1874841.85,District 10,10,086,33
,JHS 118 WILLIAM W NILES,1192,3178963.70,District 10,10,086,33
,IS 206 ANN MERSEREAU,302,805408.59,District 10,10,086,33
,PS 209,214,570719.99,District 10,10,086,33
,THEATRE ARTS PROD COMPANY SCHOOL,582,1552145.03,District 10,10,086,33
,PS 279 CAPT MANUEL RIVERA JR,1046,2789593.98,District 10,10,086,33
,PS 291,679,1810835.87,District 10,10,086,33
,PS 306,760,2026856.05,District 10,10,086,29
,PS 310 MARBLE HILL,707,1885509.51,District 10,10,086,33
,PS 315 LAB SCHOOL,265,706732.70,District 10,10,086,33
,BRONX SCHOOL OF YOUNG LEADERS (THE),382,1018761.86,District 10,10,086,29
,ACAD-PERSONAL LDSHP AND EXCELLENCE,402,1072100.17,District 10,10,086,33
,"ELEM SCHOOL FOR MATH, SCIENCE, TECH",297,792074.01,District 10,10,086,33
,SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,455,1213446.71,District 10,10,086,33
,MS 390,404,1077434.01,District 10,10,086,33
,ANGELO PATRI MIDDLE SCHOOL (THE),583,1554811.94,District 10,10,086,33
,PS 396,347,925419.80,District 10,10,086,33
,CRESTON ACADEMY,469,1250783.54,District 10,10,086,33
,PULSE HIGH SCHOOL,213,568053.08,District 10,10,086,33
,EAST FORDHAM ACADEMY-ARTS,361,962756.62,District 10,10,086,33
,PS 36 UNIONPORT,666,1776165.96,District 8,8,087,34
,PS 119,960,2560239.22,District 8,8,087,34
,JHS 125 HENRY HUDSON,450,1200112.13,District 8,8,087,32
,PS 138 SAMUEL RANDALL,787,2098862.78,District 8,8,087,34
,PS 182,923,2461563.33,District 8,8,087,34
,MILLENIUM ART ACADEMY,485,1293454.19,District 8,8,087,32
,GATEWAY SCHOOL-ENVIR AND TECH,170,453375.70,District 8,8,087,32
,PABLO NERUDA ACADEMY,326,869414.57,District 8,8,087,32
,ANTONIA PANTOJA PREP ACADEMY,463,1234782.04,District 8,8,087,32
,BRONX COMMUNITY HIGH SCHOOL,159,424039.62,District 8,8,087,32
,BRONX BRIDGES HIGH SCHOOL,320,853413.07,District 8,8,087,32
,BRONX GUILD HIGH SCHOOL,318,848079.24,District 8,8,087,32
,SCH-COMMUNITY RESEARCH & LEARNING,35,93342.05,District 8,8,087,32
,PS 106 PARKCHESTER,1163,3101623.14,District 11,11,087,32
,JHS 127 THE CASTLE HILL,740,1973517.73,District 11,11,087,32
,PS 6 WEST FARMS,547,1458802.97,District 12,12,087,32
,PS 47 JOHN RANDOLPH,1145,3053618.65,District 12,12,087,32
,PS 102 JOSEPH O LORETAN,118,314696.07,District 12,12,087,32
,SCHOOL OF PERFORMING ARTS,354,944088.21,District 12,12,087,32
,EMOLIOR ACADEMY,249,664062.05,District 12,12,087,32
,ARCHER ELEMENTARY SCHOOL,404,1077434.01,District 12,12,087,32
,PS 536,319,850746.16,District 12,12,087,32
,WINGS ACADEMY,521,1389463.16,District 12,12,087,33
,BRONX LITTLE SCHOOL,354,944088.21,District 12,12,087,32
,NYC Department of Education - All Schools,948261,2528932296.00,All Districts,,,
